name,lat,lon,postal_code,street,block
Kreta Ayer CC,1.28119257621546,103.84301285361794,88995,Kreta Ayer Road,28A
Leng Kee CC,1.2897871189165284,103.81444834815959,159049,Lengkok Bahru,400
MacPherson CC,1.3235370882947983,103.88448119341498,379131,Paya Lebar Way,400
Bidadari CC,1.3387306540844819,103.87167001564892,367803,Bidadari Park Drive,11
Buangkok CC,1.3831519264566876,103.89229581728699,544692,Compassvale Bow,70
Bukit Batok East CC,1.3489873878068073,103.758195830417,659841,Bukit Batok East Avenue 4,23
Fuchun CC,1.4295866024388828,103.77485012918247,738581,Woodlands Street 31,1
Radin Mas CC,1.2759310184005284,103.81975313097747,98917,Telok Blangah Crescent,51
Rivervale CC,1.3851527641357397,103.90231950738371,544583,Rivervale Close,2
Sengkang CC,1.392785585870242,103.89390610277434,545025,Sengkang Square,2
Senja-Cashew CC,1.3815867900890648,103.76465958417046,679910,Bukit Panjang Road,101
Siglap CC,1.3172919360269562,103.94674214313402,460151,Bedok South Road,151
Siglap South CC,1.3131589522000973,103.9306234663442,456441,Palm Road,6
Taman Jurong CC,1.3353068008328002,103.72162639956439,618495,Yung Sheng Road,1
Thomson CC,1.351253853350256,103.83626228638991,574339,Upper Thomson Road,194
Yuhua CC,1.3399728527888106,103.73706591526356,609958,Boon Lay Way,90
ACE The Place CC,1.4274927760291807,103.79224077232294,739069,Woodlands Avenue 1,120
Aljunied CC,1.354658083100117,103.88954623520497,530110,Hougang Avenue 1,110
Anchorvale CC,1.3971279177343783,103.8866656847161,544965,Anchorvale Road,59
Ang Mo Kio CC,1.366833480766686,103.8406681303365,569976,Ang Mo Kio Avenue 1,795
Ayer Rajah CC,1.320799304428602,103.74754019193895,609335,Pandan Gardens,150
Bedok CC,1.3242465984259346,103.93604783880299,467352,New Upper Changi Road,850
Bishan CC,1.3495116183195113,103.85050927568692,579799,Bishan Street 13,51
Boon Lay CC,1.3483232253267916,103.71138018647879,649882,Boon Lay Place,10
Bukit Batok CC (Temp office),1.3504219721532489,103.74680359001859,650119,Bukit Batok West Ave 6,119
Bukit Panjang CC,1.3764507492461155,103.7705588060096,678295,Pending Road,8
Ci Yuan CC,1.3751489782578707,103.88289417930713,538776,Hougang Avenue 9,51
Clementi CC,1.3188151881476347,103.76815368664504,129880,Clementi Avenue 4,220
Hwi Yoh CC,1.3736001003091243,103.87389097774232,550535,Serangoon North Avenue 4,535
imPAct@Hong Lim Green,1.2863294048283742,103.846479315186,58284,Upper Pickering Street,20
Jalan Besar CC,1.30800417111748,103.8617865723171,208737,Jellicoe Road,69
Joo Chiat CC,1.3074572063937617,103.904168869493,427633,Joo Chiat Road,405
Jurong Green CC,1.3505560317035639,103.72534155677674,649520,Jurong West Avenue 1,6
Jurong Spring CC,1.3483301691729592,103.71815570326673,649296,Jurong West Street 52,8
Kaki Bukit CC,1.3333820696795313,103.92684622465563,469627,Bedok North Street 3,670
Kallang CC,1.3178029049764668,103.8623732825009,339771,Boon Keng Road,45
Chua Chu Kang CC,1.3811552900306399,103.75190388648127,688892,Teck Whye Avenue,35
Tampines North CC,1.357364787759742,103.94660268506655,529204,Tampines Street 41,2
Limbang CO c/o Yew Tee CC,1.3949175844705166,103.74472785336711,689286,Choa Chu Kang Street 52,20
Mountbatten CC,1.3092346366642318,103.88682683806329,390087,Jalan Satu,87
Nee Soon Central CC,1.4280358453225692,103.83609210218492,768019,Northpoint Drive,1
Paya Lebar Kovan CC,1.3577986050529562,103.88609208263634,530207,Hougang Street 21,207
Tampines Central CC,1.3534961547181348,103.93968359444563,528523,Tampines Walk,1
The Frontier CC,1.3404695641247493,103.70445268530443,648346,Jurong West Central 3,60
