name,lat,lon,postal_code,street,block
Ang Mo Kio Polyclinic,1.3743114830439676,103.84560835649081,569666,Ang Mo Kio Central 2,21
Pasir Ris Polyclinic,1.3685869467919396,103.95920469728927,519457,Pasir Ris Drive 4,1
Punggol Polyclinic,1.4028784531949312,103.91319574883552,820681,Punggol Drive,681
Sembawang Polyclinic,1.4482633618766256,103.82276363764352,756973,Canberra Link,21
Bedok Polyclinic,1.3269849884844858,103.93162062157725,469662,Bedok North Street 1,11
Bukit Batok Polyclinic,1.352015174812025,103.74782227017751,659164,Bukit Batok West Avenue 3,50
Choa Chu Kang Polyclinic,1.3823413857127425,103.75077687240429,688846,Teck Whye Crescent,2
Clementi Polyclinic,1.3124810823684312,103.76547650435839,120451,Clementi Avenue 3,451
Geylang Polyclinic,1.3194936457037207,103.88716604481574,389707,Geylang East Central,21
Hougang Polyclinic,1.3700180468290737,103.88899639048948,538829,Hougang Avenue 4,89
Kallang Polyclinic,1.3166930224324112,103.8586873260051,328263,Serangoon Road,701
Outram Polyclinic,1.2793314591479037,103.83831505402756,168937,Second Hospital Avenue,3
SCS Multi-Service Centre,1.3501724268530226,103.8484300826872,579837,Bishan Place,9
SengKang Polyclinic,1.392785585870242,103.89390610277434,545025,Sengkang Square,2
Tampines Polyclinic,1.3573099581749626,103.94584946666237,529203,Tampines Street 41,1
Toa Payoh Polyclinic,1.3344802763996426,103.85895644511542,319260,Toa Payoh Lorong 8,2003
Woodlands Polyclinic,1.4308932241216819,103.77521291746736,738579,Woodlands Street 31,10
Yishun Polyclinic,1.4303585107550705,103.83919070033672,768898,Yishun Ave 9,2
Pioneer Polyclinic,1.3385622426293666,103.69897934147608,648201,Jurong West Street 61,26
Khatib Polyclinic,1.418250783374553,103.83434643909712,769567,Yishun Ring Roadd,690
Tampines North Polyclinic,1.3633110636349612,103.93755631803462,528566,Tampines Street 61,35
Bukit Panjang Polyclinic,1.3827125369840436,103.76016645293414,677726,Woodlands Road,50
Eunos Polyclinic,1.3173277271261974,103.90571066893415,429400,Chin Cheng Ave,1
