school_name,address,postal_code,lat,lon,mainlevel_code,type_code,zone_code,dgp_code,sap_ind,autonomous_ind,gifted_ind
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,1.4426347903311,103.800040119743,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT   ,737916,1.44589068910993,103.802398196596,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,768643,1.43315271543517,103.832942401086,PRIMARY,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7   ,768928,1.43605975368804,103.829718690077,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,1.3605834338904,103.833020333986,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,BISHAN,Yes,No,No
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,1.29133439161334,103.824424680531,PRIMARY,GOVERNMENT SCHOOL,SOUTH,BUKIT MERAH,No,No,No
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,544969,1.39036998654612,103.887165375933,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,1.38426429436736,103.841392081119,PRIMARY,GOVERNMENT SCHOOL,NORTH,ANG MO KIO,No,No,No
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53   ,569206,1.37434001701177,103.851554107068,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,ANG MO KIO,No,Yes,No
ANDERSON SERANGOON JUNIOR COLLEGE,1033 Upper Serangoon Road   ,534768,1.36504342002442,103.887038809373,JUNIOR COLLEGE,GOVERNMENT SCHOOL,NORTH,HOUGANG,No,No,No
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,569920,1.36932176584608,103.839630858752,PRIMARY,GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
