series,date,cpi_index
All Items,1961-01-01,21.071
All Items,1961-02-01,21.094
All Items,1961-03-01,21.112
All Items,1961-04-01,20.77
All Items,1961-05-01,20.655
All Items,1961-06-01,20.801
All Items,1961-07-01,20.847
All Items,1961-08-01,21.054
All Items,1961-09-01,20.948
All Items,1961-10-01,21.007
All Items,1961-11-01,21.057
All Items,1961-12-01,21.024
All Items,1962-01-01,21.157
All Items,1962-02-01,21.277
All Items,1962-03-01,20.972
All Items,1962-04-01,20.868
All Items,1962-05-01,20.884
All Items,1962-06-01,20.98
All Items,1962-07-01,21.029
All Items,1962-08-01,20.966
All Items,1962-09-01,21.056
All Items,1962-10-01,21.009
All Items,1962-11-01,21.145
All Items,1962-12-01,21.205
All Items,1963-01-01,21.613
All Items,1963-02-01,21.771
All Items,1963-03-01,21.361
All Items,1963-04-01,21.148
All Items,1963-05-01,21.255
All Items,1963-06-01,21.321
All Items,1963-07-01,21.263
All Items,1963-08-01,21.315
All Items,1963-09-01,21.409
All Items,1963-10-01,21.917
All Items,1963-11-01,21.757
All Items,1963-12-01,21.798
All Items,1964-01-01,21.93
All Items,1964-02-01,22.012
All Items,1964-03-01,21.933
All Items,1964-04-01,21.639
All Items,1964-05-01,21.648
All Items,1964-06-01,21.583
All Items,1964-07-01,21.685
All Items,1964-08-01,22.044
All Items,1964-09-01,21.985
All Items,1964-10-01,21.844
All Items,1964-11-01,21.831
All Items,1964-12-01,22.046
All Items,1965-01-01,22.099
All Items,1965-02-01,22.03
All Items,1965-03-01,21.887
All Items,1965-04-01,21.567
All Items,1965-05-01,21.737
All Items,1965-06-01,21.815
All Items,1965-07-01,21.681
All Items,1965-08-01,21.814
All Items,1965-09-01,21.884
All Items,1965-10-01,21.943
All Items,1965-11-01,22.098
All Items,1965-12-01,22.263
All Items,1966-01-01,22.534
All Items,1966-02-01,22.326
All Items,1966-03-01,22.148
All Items,1966-04-01,22.232
All Items,1966-05-01,22.187
All Items,1966-06-01,22.245
All Items,1966-07-01,22.331
All Items,1966-08-01,22.486
All Items,1966-09-01,22.352
All Items,1966-10-01,22.224
All Items,1966-11-01,22.471
All Items,1966-12-01,22.609
All Items,1967-01-01,22.92
All Items,1967-02-01,22.931
All Items,1967-03-01,22.807
All Items,1967-04-01,22.448
All Items,1967-05-01,22.653
All Items,1967-06-01,22.913
All Items,1967-07-01,23.226
All Items,1967-08-01,23.13
All Items,1967-09-01,23.317
All Items,1967-10-01,23.226
All Items,1967-11-01,23.449
All Items,1967-12-01,23.659
All Items,1968-01-01,23.681
All Items,1968-02-01,23.412
All Items,1968-03-01,23.327
All Items,1968-04-01,23.281
All Items,1968-05-01,23.024
All Items,1968-06-01,23.022
All Items,1968-07-01,23.138
All Items,1968-08-01,23.324
All Items,1968-09-01,23.188
All Items,1968-10-01,23.152
All Items,1968-11-01,23.101
All Items,1968-12-01,23.031
All Items,1969-01-01,23.062
All Items,1969-02-01,23.029
All Items,1969-03-01,23.159
All Items,1969-04-01,23.083
All Items,1969-05-01,23.309
All Items,1969-06-01,23.191
All Items,1969-07-01,23.112
All Items,1969-08-01,23.195
All Items,1969-09-01,23.232
All Items,1969-10-01,23.061
All Items,1969-11-01,23.297
All Items,1969-12-01,23.619
All Items,1970-01-01,23.287
All Items,1970-02-01,23.386
All Items,1970-03-01,23.102
All Items,1970-04-01,23.14
All Items,1970-05-01,23.155
All Items,1970-06-01,23.12
All Items,1970-07-01,23.349
All Items,1970-08-01,23.33
All Items,1970-09-01,23.291
All Items,1970-10-01,23.316
All Items,1970-11-01,23.263
All Items,1970-12-01,23.42
All Items,1971-01-01,24.111
All Items,1971-02-01,23.686
