project,street,marketSegment,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,x,y,nettPrice
LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,RCR,308,-,1,0921,3,5200000,Semi-detached,05,Land,Freehold,,,
LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,RCR,228.4,-,1,0724,3,5188888,Semi-detached,05,Land,Freehold,,,
LANDED HOUSING DEVELOPMENT,NEO PEE TECK LANE,RCR,257,-,1,0522,3,4600000,Terrace,05,Land,Freehold,20862.4977,30526.52507,
AUREA,BEACH ROAD,CCR,59,11-15,1,0526,1,1850000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,21-25,1,0925,1,2065000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,26-30,1,0525,1,6010945,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,16-20,1,0825,1,1870000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,11-15,1,0226,1,2719000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,06-10,1,0226,1,2650000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1025,1,1783000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1125,1,1804000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,16-20,1,1225,1,5684616,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,06-10,1,1125,1,1971000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,01-05,1,0226,1,1939014,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,302,36-40,1,0625,1,12000000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1125,1,1798000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,134,11-15,1,0325,1,4267850,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,11-15,1,0325,1,2911440,Apartment,07,Strata,99 yrs lease commencing from 2024,,,2796440
AUREA,BEACH ROAD,CCR,93,16-20,1,0325,1,2999039,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1025,1,1777000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,26-30,1,0725,1,2100000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,59,06-10,1,1025,1,1792000,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,21-25,1,0325,1,5795300,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,21-25,1,0325,1,5869248,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,21-25,1,0325,1,5867210,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,167,26-30,1,0325,1,6091865,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,134,11-15,1,0325,1,4311115,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,134,11-15,1,0325,1,4239205,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,16-20,1,0325,1,2049605,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,11-15,1,0325,1,1981435,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,11-15,1,0325,1,1963752,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,06-10,1,0325,1,1958655,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,16-20,1,0325,1,1959796,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,06-10,1,0325,1,1943780,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,11-15,1,0325,1,1999880,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,11-15,1,0325,1,1975740,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,66,06-10,1,0325,1,1949475,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,60,06-10,1,0325,1,1927885,Apartment,07,Strata,99 yrs lease commencing from 2024,,,1857885
AUREA,BEACH ROAD,CCR,60,06-10,1,0325,1,1911735,Apartment,07,Strata,99 yrs lease commencing from 2024,,,1841735
AUREA,BEACH ROAD,CCR,93,16-20,1,0325,1,2886574,Apartment,07,Strata,99 yrs lease commencing from 2024,,,2771574
AUREA,BEACH ROAD,CCR,93,16-20,1,0325,1,3016225,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,21-25,1,0325,1,3111340,Apartment,07,Strata,99 yrs lease commencing from 2024,,,
AUREA,BEACH ROAD,CCR,93,06-10,1,0325,1,2861015,Apartment,07,Strata,99 yrs lease commencing from 2024,,,2746015
