quarter,type_of_sale,sale_status,units
1999-Q4,New Sale,Completed,234
1999-Q4,New Sale,Uncompleted,756
1999-Q4,Resale,na,1942
1999-Q4,Sub Sale,na,367
2000-Q1,New Sale,Completed,119
2000-Q1,New Sale,Uncompleted,1133
2000-Q1,Resale,na,1825
2000-Q1,Sub Sale,na,295
2000-Q2,New Sale,Completed,204
2000-Q2,New Sale,Uncompleted,850
2000-Q2,Resale,na,1588
2000-Q2,Sub Sale,na,261
2000-Q3,New Sale,Completed,160
2000-Q3,New Sale,Uncompleted,1989
2000-Q3,Resale,na,1455
2000-Q3,Sub Sale,na,278
2000-Q4,New Sale,Completed,161
2000-Q4,New Sale,Uncompleted,790
2000-Q4,Resale,na,1179
2000-Q4,Sub Sale,na,137
2001-Q1,New Sale,Completed,149
2001-Q1,New Sale,Uncompleted,1256
2001-Q1,Resale,na,974
2001-Q1,Sub Sale,na,110
2001-Q2,New Sale,Completed,209
2001-Q2,New Sale,Uncompleted,971
2001-Q2,Resale,na,1183
2001-Q2,Sub Sale,na,128
2001-Q3,New Sale,Completed,164
2001-Q3,New Sale,Uncompleted,1329
2001-Q3,Resale,na,1407
2001-Q3,Sub Sale,na,119
2001-Q4,New Sale,Completed,290
2001-Q4,New Sale,Uncompleted,2821
2001-Q4,Resale,na,985
2001-Q4,Sub Sale,na,66
2002-Q1,New Sale,Completed,318
2002-Q1,New Sale,Uncompleted,3827
2002-Q1,Resale,na,1686
2002-Q1,Sub Sale,na,74
2002-Q2,New Sale,Completed,264
2002-Q2,New Sale,Uncompleted,1861
2002-Q2,Resale,na,1424
2002-Q2,Sub Sale,na,84
2002-Q3,New Sale,Completed,261
2002-Q3,New Sale,Uncompleted,2085
2002-Q3,Resale,na,1505
2002-Q3,Sub Sale,na,69
2002-Q4,New Sale,Completed,136
2002-Q4,New Sale,Uncompleted,733
2002-Q4,Resale,na,1455
2002-Q4,Sub Sale,na,56
2003-Q1,New Sale,Completed,105
2003-Q1,New Sale,Uncompleted,322
2003-Q1,Resale,na,931
2003-Q1,Sub Sale,na,49
2003-Q2,New Sale,Completed,222
2003-Q2,New Sale,Uncompleted,1695
2003-Q2,Resale,na,1489
2003-Q2,Sub Sale,na,75
2003-Q3,New Sale,Completed,199
2003-Q3,New Sale,Uncompleted,1470
2003-Q3,Resale,na,1607
2003-Q3,Sub Sale,na,66
2003-Q4,New Sale,Completed,133
