quarter,market_segment,units
2004-Q1,Core Central Region,187
2004-Q1,Outside Central Region,255
2004-Q1,Rest of Central Region,464
2004-Q2,Core Central Region,249
2004-Q2,Outside Central Region,332
2004-Q2,Rest of Central Region,593
2004-Q3,Core Central Region,107
2004-Q3,Outside Central Region,1344
2004-Q3,Rest of Central Region,142
2004-Q4,Core Central Region,1131
2004-Q4,Outside Central Region,658
2004-Q4,Rest of Central Region,419
2005-Q1,Core Central Region,722
2005-Q1,Outside Central Region,184
2005-Q1,Rest of Central Region,460
2005-Q2,Core Central Region,1024
2005-Q2,Outside Central Region,728
2005-Q2,Rest of Central Region,1200
2005-Q3,Core Central Region,805
2005-Q3,Outside Central Region,501
2005-Q3,Rest of Central Region,704
2005-Q4,Core Central Region,1167
2005-Q4,Outside Central Region,186
2005-Q4,Rest of Central Region,520
2006-Q1,Core Central Region,265
2006-Q1,Outside Central Region,512
2006-Q1,Rest of Central Region,1334
2006-Q2,Core Central Region,941
2006-Q2,Outside Central Region,914
2006-Q2,Rest of Central Region,1150
2006-Q3,Core Central Region,1224
2006-Q3,Outside Central Region,755
2006-Q3,Rest of Central Region,278
2006-Q4,Core Central Region,1420
2006-Q4,Outside Central Region,1035
2006-Q4,Rest of Central Region,1241
2007-Q1,Core Central Region,2259
2007-Q1,Outside Central Region,1077
2007-Q1,Rest of Central Region,923
2007-Q2,Core Central Region,860
2007-Q2,Outside Central Region,2146
2007-Q2,Rest of Central Region,1356
2007-Q3,Core Central Region,1360
2007-Q3,Outside Central Region,1201
2007-Q3,Rest of Central Region,1148
2007-Q4,Core Central Region,532
2007-Q4,Outside Central Region,463
2007-Q4,Rest of Central Region,691
2008-Q1,Core Central Region,246
2008-Q1,Outside Central Region,813
2008-Q1,Rest of Central Region,284
2008-Q2,Core Central Region,419
2008-Q2,Outside Central Region,594
2008-Q2,Rest of Central Region,801
2008-Q3,Core Central Region,462
2008-Q3,Outside Central Region,773
2008-Q3,Rest of Central Region,1009
2008-Q4,Core Central Region,281
2008-Q4,Outside Central Region,207
2008-Q4,Rest of Central Region,218
2009-Q1,Core Central Region,100
2009-Q1,Outside Central Region,1336
2009-Q1,Rest of Central Region,672
2009-Q2,Core Central Region,1134
2009-Q2,Outside Central Region,1309
2009-Q2,Rest of Central Region,1426
2009-Q3,Core Central Region,1223
2009-Q3,Outside Central Region,2717
2009-Q3,Rest of Central Region,1959
2009-Q4,Core Central Region,1136
2009-Q4,Outside Central Region,594
2009-Q4,Rest of Central Region,497
2010-Q1,Core Central Region,1988
