quarter,res_completion_status,market_segment,units
2004-Q1,Uncompleted Private Residential,Core Central Region,160
2004-Q1,Uncompleted Private Residential,Outside Central Region,360
2004-Q1,Uncompleted Private Residential,Rest of Central Region,399
2004-Q2,Uncompleted Private Residential,Core Central Region,151
2004-Q2,Uncompleted Private Residential,Outside Central Region,308
2004-Q2,Uncompleted Private Residential,Rest of Central Region,512
2004-Q3,Uncompleted Private Residential,Core Central Region,147
2004-Q3,Uncompleted Private Residential,Outside Central Region,873
2004-Q3,Uncompleted Private Residential,Rest of Central Region,144
2004-Q4,Uncompleted Private Residential,Core Central Region,945
2004-Q4,Uncompleted Private Residential,Outside Central Region,411
2004-Q4,Uncompleted Private Residential,Rest of Central Region,207
2005-Q1,Uncompleted Private Residential,Core Central Region,596
2005-Q1,Uncompleted Private Residential,Outside Central Region,310
2005-Q1,Uncompleted Private Residential,Rest of Central Region,184
2005-Q2,Uncompleted Private Residential,Core Central Region,717
2005-Q2,Uncompleted Private Residential,Outside Central Region,706
2005-Q2,Uncompleted Private Residential,Rest of Central Region,1133
2005-Q3,Uncompleted Private Residential,Core Central Region,779
2005-Q3,Uncompleted Private Residential,Outside Central Region,594
2005-Q3,Uncompleted Private Residential,Rest of Central Region,706
2005-Q4,Uncompleted Private Residential,Core Central Region,1134
2005-Q4,Uncompleted Private Residential,Outside Central Region,337
2005-Q4,Uncompleted Private Residential,Rest of Central Region,594
2006-Q1,Uncompleted Private Residential,Core Central Region,385
2006-Q1,Uncompleted Private Residential,Outside Central Region,503
2006-Q1,Uncompleted Private Residential,Rest of Central Region,811
2006-Q2,Uncompleted Private Residential,Core Central Region,691
2006-Q2,Uncompleted Private Residential,Outside Central Region,568
2006-Q2,Uncompleted Private Residential,Rest of Central Region,1110
2006-Q3,Uncompleted Private Residential,Core Central Region,1124
2006-Q3,Uncompleted Private Residential,Outside Central Region,515
2006-Q3,Uncompleted Private Residential,Rest of Central Region,494
2006-Q4,Uncompleted Private Residential,Core Central Region,1757
2006-Q4,Uncompleted Private Residential,Outside Central Region,1069
2006-Q4,Uncompleted Private Residential,Rest of Central Region,1336
2007-Q1,Uncompleted Private Residential,Core Central Region,2055
2007-Q1,Uncompleted Private Residential,Outside Central Region,1216
2007-Q1,Uncompleted Private Residential,Rest of Central Region,1294
2007-Q2,Uncompleted Private Residential,Core Central Region,1196
2007-Q2,Uncompleted Private Residential,Outside Central Region,2163
2007-Q2,Uncompleted Private Residential,Rest of Central Region,1461
2007-Q3,Uncompleted Private Residential,Core Central Region,1123
2007-Q3,Uncompleted Private Residential,Outside Central Region,1269
2007-Q3,Uncompleted Private Residential,Rest of Central Region,975
2007-Q4,Uncompleted Private Residential,Core Central Region,418
2007-Q4,Uncompleted Private Residential,Outside Central Region,425
2007-Q4,Uncompleted Private Residential,Rest of Central Region,554
2008-Q1,Uncompleted Private Residential,Core Central Region,219
2008-Q1,Uncompleted Private Residential,Outside Central Region,310
2008-Q1,Uncompleted Private Residential,Rest of Central Region,201
2008-Q2,Uncompleted Private Residential,Core Central Region,343
2008-Q2,Uncompleted Private Residential,Outside Central Region,500
2008-Q2,Uncompleted Private Residential,Rest of Central Region,574
2008-Q3,Uncompleted Private Residential,Core Central Region,210
2008-Q3,Uncompleted Private Residential,Outside Central Region,665
2008-Q3,Uncompleted Private Residential,Rest of Central Region,577
2008-Q4,Uncompleted Private Residential,Core Central Region,133
2008-Q4,Uncompleted Private Residential,Outside Central Region,190
2008-Q4,Uncompleted Private Residential,Rest of Central Region,84
2009-Q1,Uncompleted Private Residential,Core Central Region,222
2009-Q1,Uncompleted Private Residential,Outside Central Region,1618
2009-Q1,Uncompleted Private Residential,Rest of Central Region,712
2009-Q2,Uncompleted Private Residential,Core Central Region,1386
2009-Q2,Uncompleted Private Residential,Outside Central Region,1320
2009-Q2,Uncompleted Private Residential,Rest of Central Region,1815
2009-Q3,Uncompleted Private Residential,Core Central Region,1148
2009-Q3,Uncompleted Private Residential,Outside Central Region,2509
2009-Q3,Uncompleted Private Residential,Rest of Central Region,1853
2009-Q4,Uncompleted Private Residential,Core Central Region,852
2009-Q4,Uncompleted Private Residential,Outside Central Region,518
2009-Q4,Uncompleted Private Residential,Rest of Central Region,471
2010-Q1,Uncompleted Private Residential,Core Central Region,1914
2010-Q1,Uncompleted Private Residential,Outside Central Region,1718
2010-Q1,Uncompleted Private Residential,Rest of Central Region,719
2010-Q2,Uncompleted Private Residential,Core Central Region,672
2010-Q2,Uncompleted Private Residential,Outside Central Region,1620
2010-Q2,Uncompleted Private Residential,Rest of Central Region,1663
2010-Q3,Uncompleted Private Residential,Core Central Region,484
2010-Q3,Uncompleted Private Residential,Outside Central Region,1753
2010-Q3,Uncompleted Private Residential,Rest of Central Region,1324
2010-Q4,Uncompleted Private Residential,Core Central Region,876
2010-Q4,Uncompleted Private Residential,Outside Central Region,2205
2010-Q4,Uncompleted Private Residential,Rest of Central Region,884
2011-Q1,Uncompleted Private Residential,Core Central Region,536
2011-Q1,Uncompleted Private Residential,Outside Central Region,1901
2011-Q1,Uncompleted Private Residential,Rest of Central Region,993
2011-Q2,Uncompleted Private Residential,Core Central Region,526
2011-Q2,Uncompleted Private Residential,Outside Central Region,2709
2011-Q2,Uncompleted Private Residential,Rest of Central Region,1090
2011-Q3,Uncompleted Private Residential,Core Central Region,207
2011-Q3,Uncompleted Private Residential,Outside Central Region,3082
2011-Q3,Uncompleted Private Residential,Rest of Central Region,903
2011-Q4,Uncompleted Private Residential,Core Central Region,161
2011-Q4,Uncompleted Private Residential,Outside Central Region,2600
2011-Q4,Uncompleted Private Residential,Rest of Central Region,764
2012-Q1,Uncompleted Private Residential,Core Central Region,129
2012-Q1,Uncompleted Private Residential,Outside Central Region,5268
2012-Q1,Uncompleted Private Residential,Rest of Central Region,1061
2012-Q2,Uncompleted Private Residential,Core Central Region,403
2012-Q2,Uncompleted Private Residential,Outside Central Region,3727
2012-Q2,Uncompleted Private Residential,Rest of Central Region,1183
2012-Q3,Uncompleted Private Residential,Core Central Region,647
2012-Q3,Uncompleted Private Residential,Outside Central Region,4327
2012-Q3,Uncompleted Private Residential,Rest of Central Region,814
2012-Q4,Uncompleted Private Residential,Core Central Region,582
2012-Q4,Uncompleted Private Residential,Outside Central Region,2742
2012-Q4,Uncompleted Private Residential,Rest of Central Region,972
2013-Q1,Uncompleted Private Residential,Core Central Region,655
2013-Q1,Uncompleted Private Residential,Outside Central Region,3366
2013-Q1,Uncompleted Private Residential,Rest of Central Region,1348
2013-Q2,Uncompleted Private Residential,Core Central Region,365
2013-Q2,Uncompleted Private Residential,Outside Central Region,2750
2013-Q2,Uncompleted Private Residential,Rest of Central Region,1357
2013-Q3,Uncompleted Private Residential,Core Central Region,166
2013-Q3,Uncompleted Private Residential,Outside Central Region,1179
2013-Q3,Uncompleted Private Residential,Rest of Central Region,1040
2013-Q4,Uncompleted Private Residential,Core Central Region,766
2013-Q4,Uncompleted Private Residential,Outside Central Region,1042
2013-Q4,Uncompleted Private Residential,Rest of Central Region,723
2014-Q1,Uncompleted Private Residential,Core Central Region,121
2014-Q1,Uncompleted Private Residential,Outside Central Region,1025
2014-Q1,Uncompleted Private Residential,Rest of Central Region,572
2014-Q2,Uncompleted Private Residential,Core Central Region,95
2014-Q2,Uncompleted Private Residential,Outside Central Region,1660
2014-Q2,Uncompleted Private Residential,Rest of Central Region,877
2014-Q3,Uncompleted Private Residential,Core Central Region,117
2014-Q3,Uncompleted Private Residential,Outside Central Region,722
2014-Q3,Uncompleted Private Residential,Rest of Central Region,626
2014-Q4,Uncompleted Private Residential,Core Central Region,422
2014-Q4,Uncompleted Private Residential,Outside Central Region,562
2014-Q4,Uncompleted Private Residential,Rest of Central Region,311
2015-Q1,Uncompleted Private Residential,Core Central Region,48
2015-Q1,Uncompleted Private Residential,Outside Central Region,760
2015-Q1,Uncompleted Private Residential,Rest of Central Region,450
2015-Q2,Uncompleted Private Residential,Core Central Region,87
2015-Q2,Uncompleted Private Residential,Outside Central Region,1656
2015-Q2,Uncompleted Private Residential,Rest of Central Region,256
2015-Q3,Uncompleted Private Residential,Core Central Region,67
2015-Q3,Uncompleted Private Residential,Outside Central Region,2062
2015-Q3,Uncompleted Private Residential,Rest of Central Region,213
2015-Q4,Uncompleted Private Residential,Core Central Region,30
2015-Q4,Uncompleted Private Residential,Outside Central Region,624
2015-Q4,Uncompleted Private Residential,Rest of Central Region,893
2016-Q1,Uncompleted Private Residential,Core Central Region,221
2016-Q1,Uncompleted Private Residential,Outside Central Region,829
2016-Q1,Uncompleted Private Residential,Rest of Central Region,309
2016-Q2,Uncompleted Private Residential,Core Central Region,118
2016-Q2,Uncompleted Private Residential,Outside Central Region,984
2016-Q2,Uncompleted Private Residential,Rest of Central Region,983
2016-Q3,Uncompleted Private Residential,Core Central Region,105
2016-Q3,Uncompleted Private Residential,Outside Central Region,1281
2016-Q3,Uncompleted Private Residential,Rest of Central Region,423
2016-Q4,Uncompleted Private Residential,Core Central Region,80
2016-Q4,Uncompleted Private Residential,Outside Central Region,1491
2016-Q4,Uncompleted Private Residential,Rest of Central Region,565
2017-Q1,Uncompleted Private Residential,Core Central Region,89
2017-Q1,Uncompleted Private Residential,Outside Central Region,1713
2017-Q1,Uncompleted Private Residential,Rest of Central Region,817
2017-Q2,Uncompleted Private Residential,Core Central Region,125
2017-Q2,Uncompleted Private Residential,Outside Central Region,1442
2017-Q2,Uncompleted Private Residential,Rest of Central Region,999
2017-Q3,Uncompleted Private Residential,Core Central Region,337
2017-Q3,Uncompleted Private Residential,Outside Central Region,1167
2017-Q3,Uncompleted Private Residential,Rest of Central Region,695
2017-Q4,Uncompleted Private Residential,Core Central Region,182
2017-Q4,Uncompleted Private Residential,Outside Central Region,921
2017-Q4,Uncompleted Private Residential,Rest of Central Region,480
2018-Q1,Uncompleted Private Residential,Core Central Region,65
2018-Q1,Uncompleted Private Residential,Outside Central Region,909
2018-Q1,Uncompleted Private Residential,Rest of Central Region,362
2018-Q2,Uncompleted Private Residential,Core Central Region,72
2018-Q2,Uncompleted Private Residential,Outside Central Region,1274
2018-Q2,Uncompleted Private Residential,Rest of Central Region,885
2018-Q3,Uncompleted Private Residential,Core Central Region,46
2018-Q3,Uncompleted Private Residential,Outside Central Region,1116
2018-Q3,Uncompleted Private Residential,Rest of Central Region,1748
2018-Q4,Uncompleted Private Residential,Core Central Region,58
2018-Q4,Uncompleted Private Residential,Outside Central Region,713
2018-Q4,Uncompleted Private Residential,Rest of Central Region,1022
2019-Q1,Uncompleted Private Residential,Core Central Region,165
2019-Q1,Uncompleted Private Residential,Outside Central Region,1006
2019-Q1,Uncompleted Private Residential,Rest of Central Region,626
2019-Q2,Uncompleted Private Residential,Core Central Region,137
2019-Q2,Uncompleted Private Residential,Outside Central Region,1008
2019-Q2,Uncompleted Private Residential,Rest of Central Region,1156
2019-Q3,Uncompleted Private Residential,Core Central Region,147
2019-Q3,Uncompleted Private Residential,Outside Central Region,1542
2019-Q3,Uncompleted Private Residential,Rest of Central Region,1525
2019-Q4,Uncompleted Private Residential,Core Central Region,402
2019-Q4,Uncompleted Private Residential,Outside Central Region,1123
2019-Q4,Uncompleted Private Residential,Rest of Central Region,897
2020-Q1,Uncompleted Private Residential,Core Central Region,546
2020-Q1,Uncompleted Private Residential,Outside Central Region,778
2020-Q1,Uncompleted Private Residential,Rest of Central Region,765
2020-Q2,Uncompleted Private Residential,Core Central Region,210
2020-Q2,Uncompleted Private Residential,Outside Central Region,811
2020-Q2,Uncompleted Private Residential,Rest of Central Region,658
2020-Q3,Uncompleted Private Residential,Core Central Region,286
2020-Q3,Uncompleted Private Residential,Outside Central Region,1358
2020-Q3,Uncompleted Private Residential,Rest of Central Region,1843
2020-Q4,Uncompleted Private Residential,Core Central Region,204
2020-Q4,Uncompleted Private Residential,Outside Central Region,1451
2020-Q4,Uncompleted Private Residential,Rest of Central Region,928
2021-Q1,Uncompleted Private Residential,Core Central Region,681
2021-Q1,Uncompleted Private Residential,Outside Central Region,981
2021-Q1,Uncompleted Private Residential,Rest of Central Region,1795
2021-Q2,Uncompleted Private Residential,Core Central Region,799
2021-Q2,Uncompleted Private Residential,Outside Central Region,1020
2021-Q2,Uncompleted Private Residential,Rest of Central Region,1123
2021-Q3,Uncompleted Private Residential,Core Central Region,423
2021-Q3,Uncompleted Private Residential,Outside Central Region,2024
2021-Q3,Uncompleted Private Residential,Rest of Central Region,1055
2021-Q4,Uncompleted Private Residential,Core Central Region,544
2021-Q4,Uncompleted Private Residential,Outside Central Region,976
2021-Q4,Uncompleted Private Residential,Rest of Central Region,1434
2022-Q1,Uncompleted Private Residential,Core Central Region,329
2022-Q1,Uncompleted Private Residential,Outside Central Region,603
2022-Q1,Uncompleted Private Residential,Rest of Central Region,842
2022-Q2,Uncompleted Private Residential,Core Central Region,531
2022-Q2,Uncompleted Private Residential,Outside Central Region,484
2022-Q2,Uncompleted Private Residential,Rest of Central Region,1292
2022-Q3,Uncompleted Private Residential,Core Central Region,522
2022-Q3,Uncompleted Private Residential,Outside Central Region,1230
2022-Q3,Uncompleted Private Residential,Rest of Central Region,381
2022-Q4,Uncompleted Private Residential,Core Central Region,351
2022-Q4,Uncompleted Private Residential,Outside Central Region,97
2022-Q4,Uncompleted Private Residential,Rest of Central Region,172
2023-Q1,Uncompleted Private Residential,Core Central Region,531
2023-Q1,Uncompleted Private Residential,Outside Central Region,415
2023-Q1,Uncompleted Private Residential,Rest of Central Region,217
2023-Q2,Uncompleted Private Residential,Core Central Region,417
2023-Q2,Uncompleted Private Residential,Outside Central Region,90
2023-Q2,Uncompleted Private Residential,Rest of Central Region,1563
2023-Q3,Uncompleted Private Residential,Core Central Region,234
2023-Q3,Uncompleted Private Residential,Outside Central Region,725
2023-Q3,Uncompleted Private Residential,Rest of Central Region,967
2023-Q4,Uncompleted Private Residential,Core Central Region,185
2023-Q4,Uncompleted Private Residential,Outside Central Region,644
2023-Q4,Uncompleted Private Residential,Rest of Central Region,232
2024-Q1,Uncompleted Private Residential,Core Central Region,71
2024-Q1,Uncompleted Private Residential,Outside Central Region,822
2024-Q1,Uncompleted Private Residential,Rest of Central Region,231
2024-Q2,Uncompleted Private Residential,Core Central Region,61
2024-Q2,Uncompleted Private Residential,Outside Central Region,414
