name,line,lines,lat,lon,search_term
Jurong East,NSL,"NSL,EWL",1.333,103.7436,Jurong East MRT station Singapore
Bukit Batok,NSL,NSL,1.3492,103.7494,Bukit Batok MRT station Singapore
Bukit Gombak,NSL,NSL,1.3588,103.7518,Bukit Gombak MRT station Singapore
Choa Chu Kang,NSL,NSL,1.3854,103.7441,Choa Chu Kang MRT station Singapore
Yew Tee,NSL,NSL,1.3972,103.7476,Yew Tee MRT station Singapore
Kranji,NSL,NSL,1.4252,103.7618,Kranji MRT station Singapore
Marsiling,NSL,NSL,1.4327,103.7742,Marsiling MRT station Singapore
Woodlands,NSL,"NSL,TEL",1.4368,103.7864,Woodlands MRT station Singapore
Admiralty,NSL,NSL,1.4406,103.8009,Admiralty MRT station Singapore
Sembawang,NSL,NSL,1.4491,103.82,Sembawang MRT station Singapore
Canberra,NSL,NSL,1.4432,103.8298,Canberra MRT station Singapore
Yishun,NSL,NSL,1.4295,103.8354,Yishun MRT station Singapore
Khatib,NSL,NSL,1.4174,103.833,Khatib MRT station Singapore
Yio Chu Kang,NSL,NSL,1.3817,103.8448,Yio Chu Kang MRT station Singapore
Ang Mo Kio,NSL,NSL,1.37,103.8494,Ang Mo Kio MRT station Singapore
Bishan,NSL,"NSL,CCL",1.351,103.8487,Bishan MRT station Singapore
Braddell,NSL,NSL,1.3406,103.847,Braddell MRT station Singapore
Toa Payoh,NSL,NSL,1.3327,103.8473,Toa Payoh MRT station Singapore
Novena,NSL,NSL,1.3203,103.8437,Novena MRT station Singapore
Newton,NSL,"NSL,DTL",1.3122,103.8383,Newton MRT station Singapore
Orchard,NSL,"NSL,TEL",1.304,103.8318,Orchard MRT station Singapore
Somerset,NSL,NSL,1.2999,103.8389,Somerset MRT station Singapore
Dhoby Ghaut,NSL,"NSL,CCL,NEL",1.299,103.8459,Dhoby Ghaut MRT station Singapore
City Hall,NSL,"NSL,EWL",1.2931,103.852,City Hall MRT station Singapore
Raffles Place,NSL,"NSL,EWL",1.283,103.8513,Raffles Place MRT station Singapore
Marina Bay,NSL,"NSL,TEL",1.2762,103.8546,Marina Bay MRT station Singapore
Marina South Pier,NSL,NSL,1.2706,103.8636,Marina South Pier MRT station Singapore
Pasir Ris,EWL,EWL,1.3731,103.9494,Pasir Ris MRT station Singapore
Tampines,EWL,"EWL,DTL",1.3527,103.9452,Tampines MRT station Singapore
Simei,EWL,EWL,1.3434,103.9531,Simei MRT station Singapore
Tanah Merah,EWL,EWL,1.3271,103.9462,Tanah Merah MRT station Singapore
Bedok,EWL,EWL,1.324,103.93,Bedok MRT station Singapore
Kembangan,EWL,EWL,1.321,103.9129,Kembangan MRT station Singapore
Eunos,EWL,EWL,1.3197,103.9028,Eunos MRT station Singapore
Paya Lebar,EWL,"EWL,CCL",1.3181,103.8921,Paya Lebar MRT station Singapore
Aljunied,EWL,EWL,1.3163,103.883,Aljunied MRT station Singapore
Kallang,EWL,EWL,1.3119,103.8709,Kallang MRT station Singapore
Lavender,EWL,EWL,1.3074,103.8628,Lavender MRT station Singapore
Bugis,EWL,"EWL,DTL",1.3008,103.8559,Bugis MRT station Singapore
Tanjong Pagar,EWL,EWL,1.2762,103.845,Tanjong Pagar MRT station Singapore
Outram Park,EWL,"EWL,NEL,TEL",1.28,103.8397,Outram Park MRT station Singapore
Tiong Bahru,EWL,EWL,1.2862,103.8272,Tiong Bahru MRT station Singapore
Redhill,EWL,EWL,1.2895,103.8165,Redhill MRT station Singapore
Queenstown,EWL,EWL,1.2941,103.8063,Queenstown MRT station Singapore
Commonwealth,EWL,EWL,1.3027,103.7983,Commonwealth MRT station Singapore
Buona Vista,EWL,"EWL,CCL",1.3072,103.7902,Buona Vista MRT station Singapore
Dover,EWL,EWL,1.3113,103.7784,Dover MRT station Singapore
Clementi,EWL,EWL,1.3152,103.765,Clementi MRT station Singapore
Chinese Garden,EWL,EWL,1.342,103.7323,Chinese Garden MRT station Singapore
Lakeside,EWL,EWL,1.3443,103.7213,Lakeside MRT station Singapore
Boon Lay,EWL,EWL,1.3387,103.706,Boon Lay MRT station Singapore
Pioneer,EWL,EWL,1.3369,103.6972,Pioneer MRT station Singapore
Joo Koon,EWL,EWL,1.3276,103.6781,Joo Koon MRT station Singapore
Gul Circle,EWL,EWL,1.3193,103.6614,Gul Circle MRT station Singapore
Tuas Crescent,EWL,EWL,1.3212,103.6491,Tuas Crescent MRT station Singapore
Tuas West Road,EWL,EWL,1.3315,103.6403,Tuas West Road MRT station Singapore
Tuas Link,EWL,EWL,1.3404,103.6366,Tuas Link MRT station Singapore
Expo,EWL,"EWL,DTL",1.3354,103.9874,Expo MRT station Singapore
Changi Airport,EWL,EWL,1.3592,103.9894,Changi Airport MRT station Singapore
Bras Basah,CCL,CCL,1.2968,103.8509,Bras Basah MRT station Singapore
Esplanade,CCL,CCL,1.2936,103.8556,Esplanade MRT station Singapore
Promenade,CCL,"CCL,DTL",1.293,103.8612,Promenade MRT station Singapore
Nicoll Highway,CCL,CCL,1.2998,103.8637,Nicoll Highway MRT station Singapore
Stadium,CCL,CCL,1.3061,103.8747,Stadium MRT station Singapore
Mountbatten,CCL,CCL,1.3063,103.8828,Mountbatten MRT station Singapore
Dakota,CCL,CCL,1.3083,103.8882,Dakota MRT station Singapore
MacPherson,CCL,"CCL,DTL",1.3265,103.888,MacPherson MRT station Singapore
Tai Seng,CCL,CCL,1.3355,103.8875,Tai Seng MRT station Singapore
Bartley,CCL,CCL,1.342,103.8801,Bartley MRT station Singapore
Serangoon,CCL,"CCL,NEL",1.3498,103.8733,Serangoon MRT station Singapore
Lorong Chuan,CCL,CCL,1.3517,103.8635,Lorong Chuan MRT station Singapore
Marymount,CCL,CCL,1.349,103.8393,Marymount MRT station Singapore
Caldecott,CCL,"CCL,TEL",1.3372,103.8393,Caldecott MRT station Singapore
one-north,CCL,CCL,1.2993,103.7875,one-north MRT station Singapore
